"Informazioni cronologiche","Qual è il tuo sesso?","Qual è la tua etá in questo momento?","Qual è la tua provincia di residenza? (Esprimi la tua risposta selezionando la cittá presente tra le 12 province Lombarde).","Sei un fumatore?","Nel caso di una precedente risposta positiva (si, fumo quotidianamente), esprimi ora il numero di sigarette fumate ogni giorno:","Qual è il tuo principale mezzo di trasposto?","Quante volte usi la macchina (o un personale mezzo di trasporto a motore) durante l'arco della settimana?","Quanti Km percorri con la macchina (o il tuo mezzo di trasporto a motore) ogni settimana?","Quanti metri quadrati è grande la tua abitazione? (Esprimi la risposta solo in numeri, esempio: 105)","Quale tipo di impianto di riscaldamento utilizzi all'interno della tua abitazione?","Durante i mesi freddi, a che temperatura tendi ad impostare il tuo impianto di riscaldamento?","Possiedi un camino o una stufa a legna?","Se hai votato si all'ultima domanda, quante volte lo utilizzi durante l'arco di un anno?","In media, quanti voli effettui durante l'anno? (ogni volo conta come 1, quindi i voli composti da ''Andata + Ritorno'' valgono come 2). Scrivi la risposta solo in numero:","Quanti acquisti on-line effettui ogni mese? (Selezionare una delle possibili risposte in base agli acquisti di beni materiali effettuati Online, escludendo le spese alimentari)","Quanti acquisti non on-line effettui ogni mese? (Selezionare una delle possibili risposte in base agli acquisti di beni materiali effettuati Non-Online, escludendo le spese alimentari)","Quante volte alla settimana mangi cibi contenenti carne (o a base di carne)?"
"2022/02/22 8:35:43 PM CET","Donna","18 - 24","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","Piú di 15 volte","","100","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","0","Da 1 a 5 prodotti","Da 6 a 10 prodotti","Tutti i giorni"
"2022/02/22 8:39:26 PM CET","Uomo","18 - 24","Cremona","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","1 / 2 volte","Da 51 a 100","85","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 8:40:09 PM CET","Uomo","31 - 40","Milano","Raramente (indicativamente 3/5 sigarette al mese)","","Bicicletta","1 / 2 volte","Da 1 a 50","50","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","20","Da 11 a 15 prodotti","Piú di 21 prodotti","1/2 volte"
"2022/02/22 8:40:59 PM CET","Uomo","25 - 30","Milano","No, mai","","Automobile a motore","8 / 14 volte","Da 101 a 200","100","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","1","Da 1 a 5 prodotti","Da 1 a 5 prodotti","Tutti i giorni"
"2022/02/22 8:45:23 PM CET","Donna","Piú di 50","Como","No, mai","","Automobile a motore","3 /4 volte","Da 1 a 50","50","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 8:45:38 PM CET","Donna","18 - 24","Milano","No, mai","","Automobile a motore","8 / 14 volte","Da 51 a 100","150","Riscaldamento tradizionale (termosifoni)","22/23 gradi","Si","Da 1 a 20 volte","8","Da 11 a 15 prodotti","Da 16 a 20 prodotti","Tutti i giorni"
"2022/02/22 8:47:39 PM CET","Uomo","Piú di 50","Milano","No, mai","","Automobile a motore","Piú di 15 volte","Piú di 500","200","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","8","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 8:51:15 PM CET","Uomo","25 - 30","Milano","Si, fumo quotidianamente","Da 16 a 20 sigarette ogni giorno.","Automobile a motore","Piú di 15 volte","Piú di 500","90","Riscaldamento da energia solare","24/25 gradi","No","","4","Da 11 a 15 prodotti","Da 11 a 15 prodotti","Tutti i giorni"
"2022/02/22 8:57:28 PM CET","Donna","18 - 24","Pavia","Si, fumo quotidianamente","Da 1 a 5 sigarette ogni giorno.","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","Piú di 15 volte","Da 201 a 500","60","Stufa a pellet","20/21 gradi","No","","4","Da 1 a 5 prodotti","Da 1 a 5 prodotti","Tutti i giorni"
"2022/02/22 9:01:06 PM CET","Donna","25 - 30","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","5/7 volte","Da 1 a 50","150","Riscaldamento tradizionale (a pavimento)","20/21 gradi","Si","Piú di 60 volte","20","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/22 9:08:26 PM CET","Uomo","31 - 40","Milano","No, mai","","Ciclomotore (moto, scooter)","1 / 2 volte","Da 101 a 200","72","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","4","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 9:25:37 PM CET","Donna","31 - 40","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","5/7 volte","Da 1 a 50","50","Riscaldamento tradizionale (termosifoni)","22/23 gradi","No","","12","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 9:27:30 PM CET","Donna","31 - 40","Milano","No, mai","","Automobile a motore","3 /4 volte","Da 1 a 50","50","Riscaldamento tradizionale (termosifoni)","Piú di 26 gradi","No","","15","Da 1 a 5 prodotti","Piú di 21 prodotti","0"
"2022/02/22 9:29:46 PM CET","Donna","25 - 30","Monza","No, mai","","Automobile a motore","8 / 14 volte","Piú di 500","80","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","4","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 9:35:59 PM CET","Uomo","25 - 30","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","1 / 2 volte","Da 1 a 50","90","Riscaldamento tradizionale (termosifoni)","22/23 gradi","No","","8","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 9:47:37 PM CET","Donna","41 - 50","Varese","No, mai","","Automobile a motore","3 /4 volte","Da 101 a 200","200","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","1","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/22 9:50:39 PM CET","Uomo","25 - 30","Milano","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Automobile a motore","Piú di 15 volte","Piú di 500","85","Camino / Stufa a legna","18/19 gradi","Si","Piú di 60 volte","6","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 10:01:40 PM CET","Donna","Piú di 50","Lecco","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Automobile a motore","3 /4 volte","Da 1 a 50","150","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Piú di 60 volte","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 10:02:10 PM CET","Uomo","31 - 40","Milano","Raramente (indicativamente 3/5 sigarette al mese)","","Bicicletta","1 / 2 volte","Da 1 a 50","60","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","20","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 10:08:00 PM CET","Donna","25 - 30","Milano","Occasionalmente (indicativamente 3/5 sigarette a settimana)","","Automobile a motore","8 / 14 volte","Da 201 a 500","360","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","6","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/22 10:14:20 PM CET","Uomo","25 - 30","Milano","No, mai","","Automobile a motore","Piú di 15 volte","Da 51 a 100","120","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 10:17:54 PM CET","Donna","18 - 24","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","3 /4 volte","Da 51 a 100","180","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 10:23:51 PM CET","Donna","41 - 50","Milano","No, mai","","Automobile a motore","5/7 volte","Da 201 a 500","90","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 10:26:13 PM CET","Donna","25 - 30","Milano","No, mai","","Automobile a motore","5/7 volte","Da 201 a 500","110","Riscaldamento tradizionale (a pavimento)","20/21 gradi","No","","4","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 10:30:48 PM CET","Donna","Piú di 50","Pavia","No, mai","","Automobile a motore","1 / 2 volte","Da 51 a 100","70","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","4","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 10:31:40 PM CET","Donna","Piú di 50","Lecco","No, mai","","Automobile a motore","5/7 volte","Da 1 a 50","Boh","Stufa a pellet","20/21 gradi","Si","Da 1 a 20 volte","0⁹","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/22 10:44:27 PM CET","Uomo","Piú di 50","Milano","No, mai","","Automobile a motore","5/7 volte","Da 1 a 50","90mq","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 10:51:57 PM CET","Donna","25 - 30","Varese","No, mai","","Automobile a motore","Piú di 15 volte","Da 101 a 200","229","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Da 1 a 20 volte","1","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/22 10:55:36 PM CET","Uomo","25 - 30","Milano","No, mai","","Automobile a motore","3 /4 volte","Da 1 a 50","75","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","16","Da 1 a 5 prodotti","Da 11 a 15 prodotti","1/2 volte"
"2022/02/22 11:16:22 PM CET","Donna","25 - 30","Milano","Occasionalmente (indicativamente 3/5 sigarette a settimana)","Da 1 a 5 sigarette ogni giorno.","Automobile a motore","3 /4 volte","Da 51 a 100","70","Riscaldamento tradizionale (a pavimento)","22/23 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 11:33:09 PM CET","Uomo","31 - 40","Milano","No, mai","","Automobile a motore","1 / 2 volte","Da 51 a 100","50","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","10","Da 16 a 20 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 11:44:16 PM CET","Uomo","Piú di 50","Como","No, mai","","Automobile a motore","Piú di 15 volte","Piú di 500","90","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/23 12:29:42 AM CET","Donna","18 - 24","Milano","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Automobile a motore","8 / 14 volte","Da 101 a 200","100","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/23 2:41:02 AM CET","Donna","41 - 50","Monza","No, mai","","Automobile a motore","8 / 14 volte","Da 51 a 100","95","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 11 a 15 prodotti","3/4 volte"
"2022/02/23 4:51:50 AM CET","Donna","Piú di 50","Milano","No, mai","","Automobile a motore","8 / 14 volte","Da 1 a 50","100 ","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 6 a 10 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/23 6:58:49 AM CET","Donna","31 - 40","Lecco","No, mai","","Automobile a motore","Piú di 15 volte","Da 1 a 50","90","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/23 7:34:51 AM CET","Donna","Piú di 50","Milano","No, mai","","Automobile a motore","5/7 volte","Da 1 a 50","150","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","0","Da 1 a 5 prodotti","Piú di 21 prodotti","1/2 volte"
"2022/02/23 7:39:13 AM CET","Donna","31 - 40","Como","No, mai","","Automobile ibrida","5/7 volte","Da 101 a 200","90","Riscaldamento tradizionale (a pavimento)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/23 8:13:50 AM CET","Donna","31 - 40","Sondrio","No, mai","","Automobile a motore","3 /4 volte","Da 51 a 100","60","Stufa a pellet","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/23 8:24:31 AM CET","Donna","Piú di 50","Milano","Si, fumo quotidianamente","Da 16 a 20 sigarette ogni giorno.","Automobile a motore","8 / 14 volte","Da 51 a 100","120","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/23 8:49:13 AM CET","Donna","41 - 50","Monza","Si, fumo quotidianamente","Da 11 a 15 sigarette ogni giorno.","Automobile a motore","1 / 2 volte","Da 1 a 50","150","Stufa a pellet","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/23 8:51:17 AM CET","Donna","18 - 24","Pavia","No, mai","","Bicicletta","","","80","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","10","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/23 10:18:01 AM CET","Donna","Piú di 50","Milano","No, mai","","Automobile a motore","8 / 14 volte","Da 1 a 50","120","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/23 10:38:15 AM CET","Uomo","31 - 40","Milano","Si, fumo quotidianamente","Da 11 a 15 sigarette ogni giorno.","Ciclomotore (moto, scooter)","Piú di 15 volte","Da 201 a 500","90","Riscaldamento tradizionale (a pavimento)","20/21 gradi","No","","4","Da 6 a 10 prodotti","Da 6 a 10 prodotti","Tutti i giorni"
"2022/02/23 11:20:12 AM CET","Donna","Piú di 50","Monza","No, mai","","Automobile a motore","3 /4 volte","Da 101 a 200","140","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","zero","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/23 2:36:36 PM CET","Uomo","31 - 40","Cremona","Si, fumo quotidianamente","Da 16 a 20 sigarette ogni giorno.","Automobile a motore","8 / 14 volte","Da 101 a 200","75","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 11 a 15 prodotti","3/4 volte"
"2022/02/23 4:15:42 PM CET","Donna","Piú di 50","Cremona","No, mai","","Automobile a motore","1 / 2 volte","Da 51 a 100","130","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","0","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/23 4:50:44 PM CET","Uomo","Piú di 50","Cremona","No, mai","","Automobile a motore","1 / 2 volte","Da 1 a 50","120","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","0","Da 1 a 5 prodotti","Da 11 a 15 prodotti","1/2 volte"
"2022/02/23 4:53:36 PM CET","Donna","41 - 50","Milano","No, mai","","Automobile a motore","Piú di 15 volte","Da 101 a 200","160","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Piú di 21 prodotti","3/4 volte"
"2022/02/23 6:42:24 PM CET","Donna","Piú di 50","Como","No, mai","","Automobile a motore","5/7 volte","Da 1 a 50","135","Riscaldamento tradizionale (a pavimento)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/23 8:02:05 PM CET","Uomo","Piú di 50","Cremona","No, mai","","Bicicletta","3 /4 volte","Da 51 a 100","206","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Da 41 a 60 volte","0","Da 1 a 5 prodotti","Da 16 a 20 prodotti","3/4 volte"
"2022/02/23 8:06:35 PM CET","Donna","Piú di 50","Cremona","No, mai","","Bicicletta","5/7 volte","Da 51 a 100","180","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Da 21 a 40 volte","0","Da 1 a 5 prodotti","Piú di 21 prodotti","1/2 volte"
"2022/02/23 10:01:14 PM CET","Donna","41 - 50","Milano","No, mai","","Automobile a motore","1 / 2 volte","Da 1 a 50","100","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/25 12:47:15 AM CET","Uomo","31 - 40","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","1 / 2 volte","Da 101 a 200","60","Riscaldamento tradizionale (a pavimento)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/25 6:50:48 PM CET","Uomo","Piú di 50","Como","No, mai","","Automobile a motore","Piú di 15 volte","Da 201 a 500","50","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/25 7:02:16 PM CET","Donna","Piú di 50","Milano","No, mai","","Automobile a motore","5/7 volte","Da 51 a 100","75","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","4","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/26 12:31:41 PM CET","Donna","25 - 30","Lecco","No, mai","","Automobile a motore","5/7 volte","Da 51 a 100","140","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/26 12:34:09 PM CET","Donna","25 - 30","Varese","No, mai","","Automobile ibrida","1 / 2 volte","Da 51 a 100","200","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","2","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/26 12:39:46 PM CET","Donna","18 - 24","Lecco","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","","","45","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/26 12:42:57 PM CET","Donna","25 - 30","Bergamo","No, mai","","Automobile ibrida","Piú di 15 volte","Da 101 a 200","130","Principalmente stufa a pellet più il supporto dei termosifoni","18/19 gradi","Si","Da 1 a 20 volte","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/26 12:48:10 PM CET","Uomo","25 - 30","Varese","No, mai","","Automobile a motore","5/7 volte","Da 1 a 50","100","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","Tutti i giorni"
"2022/02/26 12:50:13 PM CET","Donna","18 - 24","Como","No, mai","","Automobile a motore","3 /4 volte","Da 1 a 50","275","Riscaldamento tradizionale (a pavimento)","18/19 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/26 12:57:48 PM CET","Donna","18 - 24","Como","No, mai","","Automobile a motore","8 / 14 volte","Da 51 a 100","170","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","2","Da 6 a 10 prodotti","Da 1 a 5 prodotti","Tutti i giorni"
"2022/02/26 1:34:51 PM CET","Donna","Piú di 50","Bergamo","No, mai","","Automobile a motore","Piú di 15 volte","Da 51 a 100","200","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Da 21 a 40 volte","2","Da 1 a 5 prodotti","Da 6 a 10 prodotti","1/2 volte"
"2022/02/26 3:34:17 PM CET","Uomo","Piú di 50","Bergamo","Si, fumo quotidianamente","Da 11 a 15 sigarette ogni giorno.","Automobile a motore","3 /4 volte","Da 51 a 100","70","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/27 5:13:39 PM CET","Donna","41 - 50","Bergamo","No, mai","","Automobile a motore","Piú di 15 volte","Da 101 a 200","400","Riscaldamento tradizionale (a pavimento)","20/21 gradi","Si","Da 1 a 20 volte","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/27 5:50:21 PM CET","Donna","41 - 50","Bergamo","No, mai","","Automobile a motore","Piú di 15 volte","Da 101 a 200","80","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/27 6:16:49 PM CET","Donna","Piú di 50","Bergamo","Raramente (indicativamente 3/5 sigarette al mese)","","Automobile a motore","1 / 2 volte","Da 1 a 50","70","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/27 10:33:49 PM CET","Donna","Piú di 50","Bergamo","No, mai","","Automobile a motore","8 / 14 volte","Da 51 a 100","130","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/27 11:14:54 PM CET","Donna","25 - 30","Milano","No, mai","","Automobile ibrida","Piú di 15 volte","Da 201 a 500","180","Riscaldamento tradizionale (a pavimento)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/28 2:00:27 PM CET","Donna","25 - 30","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","3 /4 volte","Da 1 a 50","55","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","6","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/28 4:01:12 PM CET","Donna","18 - 24","Milano","No, mai","","Automobile a motore","","","140","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","2","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/28 4:10:00 PM CET","Uomo","18 - 24","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","1 / 2 volte","Da 1 a 50","150","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","2","Da 1 a 5 prodotti","Da 6 a 10 prodotti","Tutti i giorni"
"2022/02/28 4:13:05 PM CET","Uomo","18 - 24","Mantova","Si, fumo quotidianamente","Da 1 a 5 sigarette ogni giorno.","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","3 /4 volte","Da 51 a 100","62","Stufa a pellet","20/21 gradi","No","","126","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/28 4:19:17 PM CET","Donna","18 - 24","Lodi","No, mai","","Automobile a motore","3 /4 volte","Da 101 a 200","0","Camino / Stufa a legna","20/21 gradi","Si","Piú di 60 volte","0","Da 6 a 10 prodotti","Piú di 21 prodotti","3/4 volte"
"2022/02/28 4:30:17 PM CET","Uomo","18 - 24","Milano","No, mai","","Automobile a motore","3 /4 volte","Da 201 a 500","80","Riscaldamento tradizionale (termosifoni)","22/23 gradi","Si","Da 1 a 20 volte","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/28 4:30:17 PM CET","Uomo","18 - 24","Mantova","No, mai","","Automobile a motore","8 / 14 volte","Da 101 a 200","100","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","4","Da 6 a 10 prodotti","Da 6 a 10 prodotti","Tutti i giorni"
"2022/02/28 5:07:49 PM CET","Non-Binario","31 - 40","Mantova","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Automobile ibrida","1 / 2 volte","Da 1 a 50","200","Stufa a pellet","20/21 gradi","Si","Da 21 a 40 volte","3","Da 16 a 20 prodotti","Da 11 a 15 prodotti","Tutti i giorni"
"2022/02/28 5:22:44 PM CET","Non-Binario","18 - 24","Milano","Si, fumo quotidianamente","Da 11 a 15 sigarette ogni giorno.","Bicicletta","8 / 14 volte","Da 101 a 200","100","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Piú di 60 volte","non faccio voli","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/28 6:10:28 PM CET","Donna","25 - 30","Cremona","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Automobile a motore","5/7 volte","Da 1 a 50","70","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","1","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/03/01 10:27:50 AM CET","Donna","18 - 24","Lodi","No, mai","","Automobile a motore","3 /4 volte","Da 101 a 200","0","Camino / Stufa a legna","20/21 gradi","Si","Piú di 60 volte","0","Da 6 a 10 prodotti","Piú di 21 prodotti","3/4 volte"
